tail_num,code,description,state
N266WN,245,245,CA
N267AT,615,615,GA
N267JB,1135,1135,VT
N267WN,1283,1283,ID
N268AT,307,307,GA
N268WN,127,127,NY
N269WN,1296,1296,TX
N270AY,1071,1071,PA
N270WN,320,320,CA
N270YV,5474,5474,CA
N27152,3078,3078,TX
N27172,7199,7199,IL
N27173,7312,7312,PA
N27185,7301,7301,IL
N27190,10,10,CA
N27191,2773,2773,AZ
N271AY,1071,1071,PA
N271WN,3505,3505,CT
N271YV,3737,3737,UT
N27200,1,1,TX
N27205,1603,1603,TX
N27213,384,384,NJ
N27239,825,825,NJ
N272AT,253,253,GA
N272AY,1071,1071,PA
N272WN,638,638,TN
N27314,7309,7309,IL
N27318,2922,2922,AZ
N273AT,279,279,GA
N273AY,1071,1071,PA
N273JB,1264,1264,TX
N273WN,2538,2538,ID
N274AA,319,319,NY
N274AY,1071,1071,PA
N274JB,629,629,NY
N274WN,3525,3525,VA
N27506,2035,2035,KY
N27512,2762,2762,MI
N27523,2561,2561,FL
N275AY,1071,1071,PA
N275WN,2719,2719,TX
N27610,85,85,NJ
N276AT,531,531,GA
N276AY,1071,1071,PA
N276WN,644,644,NM
N27722,358,358,TX
N27724,1679,1679,TX
N27733,1637,1637,TX
N27734,1768,1768,NV
N277AY,1071,1071,PA
N277WN,1155,1155,MD
N278AA,300,300,OK
N278AT,176,176,GA
N278WN,3742,3742,CT
N27962,2360,2360,NJ
N279AA,311,311,CA
N279AT,301,301,GA
N279JB,437,437,MA
N279WN,2101,2101,MD
N280WN,1132,1132,CA
N281AT,362,362,GA
N281JB,1122,1122,FL
N281WN,2354,2354,NV
N282WN,2804,2804,TN
N283AT,738,738,NV
N283JB,1253,1253,MA
N283WN,2733,2733,TN
N284AT,94,94,GA
N284JB,1069,1069,NY
