carrier,origin_destination,code,description,tail_num,origin,destination,id,dep_time,distance,aircraft_engine_code,site_number
UA,SFO,101217,101217,N539UA,ORD,SFO,101217,1840,1846,863,14771
UA,SFO,101218,101218,N551UA,ORD,SFO,101218,1834,1846,863,14771
UA,SFO,101219,101219,N562UA,ORD,SFO,101219,1910,1846,863,14771
UA,SFO,101220,101220,,ORD,SFO,101220,,1846,863,14771
UA,SFO,101221,101221,N536UA,ORD,SFO,101221,1848,1846,863,14771
UA,SFO,101222,101222,N594UA,ORD,SFO,101222,2046,1846,863,14771
UA,RIC,101223,101223,,ORD,RIC,101223,,642,864,14524
UA,RIC,101224,101224,N927UA,ORD,RIC,101224,1821,642,864,14524
UA,RIC,101225,101225,N336UA,ORD,RIC,101225,1900,642,864,14524
UA,RIC,101226,101226,N927UA,ORD,RIC,101226,1828,642,864,14524
UA,RIC,101227,101227,N925UA,ORD,RIC,101227,1816,642,864,14524
UA,RIC,101228,101228,N347UA,ORD,RIC,101228,1922,642,864,14524
UA,SMF,101229,101229,N562UA,ORD,SMF,101229,1039,1781,865,14893
UA,SMF,101230,101230,N568UA,ORD,SMF,101230,1137,1781,865,14893
UA,SMF,101231,101231,N562UA,ORD,SMF,101231,1035,1781,865,14893
UA,SMF,101232,101232,N503UA,ORD,SMF,101232,1059,1781,865,14893
UA,SMF,101233,101233,N553UA,ORD,SMF,101233,1118,1781,865,14893
UA,SMF,101234,101234,N507UA,ORD,SMF,101234,1048,1781,865,14893
UA,BDL,101235,101235,N570UA,ORD,BDL,101235,1319,783,866,10529
UA,BDL,101236,101236,N513UA,ORD,BDL,101236,1433,783,866,10529
UA,BDL,101237,101237,N573UA,ORD,BDL,101237,1341,783,866,10529
UA,BDL,101238,101238,N543UA,ORD,BDL,101238,1317,783,866,10529
UA,BDL,101239,101239,N341UA,ORD,BDL,101239,1509,783,866,10529
UA,BDL,101240,101240,N553UA,ORD,BDL,101240,1315,783,866,10529
UA,BOS,101550,101550,N540UA,ORD,BOS,101550,1602,867,882,10721
UA,BOS,101551,101551,N529UA,ORD,BOS,101551,1606,867,882,10721
UA,BOS,101552,101552,N552UA,ORD,BOS,101552,1543,867,882,10721
UA,BOS,101553,101553,N549UA,ORD,BOS,101553,1917,867,882,10721
UA,BOS,101554,101554,N568UA,ORD,BOS,101554,2002,867,882,10721
UA,BOS,101555,101555,N520UA,ORD,BOS,101555,1550,867,882,10721
UA,BOS,101556,101556,N587UA,ORD,BOS,101556,1557,867,882,10721
UA,BOS,101557,101557,N545UA,ORD,BOS,101557,1601,867,882,10721
UA,BOS,101558,101558,N598UA,ORD,BOS,101558,1557,867,882,10721
UA,BOS,101559,101559,N553UA,ORD,BOS,101559,1651,867,882,10721
OH,CVG,10156,10156,N659BR,ORD,CVG,10156,1615,264,5094,11193
